dataset,id,flip,claim,label,original_label,evidence,pmid,entity_a,entity_b,effect
signor,SIGNOR-156958,False,GNAS directly activates ADCY1,SUPPORT,SUPPORTED,"Because adenylyl cyclases are directly activated by G(s)alpha and the carboxyl termini of the various Galpha proteins determine their receptor coupling specificity, we proposed a set of chimeric G(s)alpha where the COOH-terminal five amino acids are replaced by those of other Galpha proteins and used these to dissect the potential Galpha linked to a given GPCR",17652154,GNAS,ADCY1,up-regulates activity
signor,SIGNOR-156958,True,GNAS directly inhibits ADCY1,REFUTE,WRONG,"Because adenylyl cyclases are directly activated by G(s)alpha and the carboxyl termini of the various Galpha proteins determine their receptor coupling specificity, we proposed a set of chimeric G(s)alpha where the COOH-terminal five amino acids are replaced by those of other Galpha proteins and used these to dissect the potential Galpha linked to a given GPCR",17652154,GNAS,ADCY1,up-regulates activity
signor,SIGNOR-52875,False,CHUK directly inhibits NFKBIA,SUPPORT,SUPPORTED,"We described the purification of a 900 kda protein kinase complex, the ikb kinase (ikk), that phosphorylates ikbalfa and ikbbeta at the sites that mediate their ubiquitination and degradation",9346241,CHUK,NFKBIA,down-regulates quantity by destabilization
signor,SIGNOR-52875,True,CHUK directly activates NFKBIA,REFUTE,WRONG,"We described the purification of a 900 kda protein kinase complex, the ikb kinase (ikk), that phosphorylates ikbalfa and ikbbeta at the sites that mediate their ubiquitination and degradation",9346241,CHUK,NFKBIA,down-regulates quantity by destabilization
signor,SIGNOR-179417,False,CSK directly inhibits SRC,SUPPORT,SUPPORTED,"The catalytic activity of the src family of tyrosine kinases is suppressed by phosphorylation on a tyrosine residue located near the c terminus (tyr 527 in c-src), which is catalyzed by c-terminal src kinase (csk).",18614016,CSK,SRC,down-regulates
signor,SIGNOR-179417,True,CSK directly activates SRC,REFUTE,WRONG,"The catalytic activity of the src family of tyrosine kinases is suppressed by phosphorylation on a tyrosine residue located near the c terminus (tyr 527 in c-src), which is catalyzed by c-terminal src kinase (csk).",18614016,CSK,SRC,down-regulates
signor,SIGNOR-70866,False,MAPK8IP2 directly activates MAPK9,SUPPORT,SUPPORTED,These experiments demonstrated that 10 different jnk isoforms bound to both jip proteins.,10490659,MAPK8IP2,MAPK9,up-regulates
signor,SIGNOR-70866,True,MAPK8IP2 directly inhibits MAPK9,REFUTE,WRONG,These experiments demonstrated that 10 different jnk isoforms bound to both jip proteins.,10490659,MAPK8IP2,MAPK9,up-regulates
signor,SIGNOR-248560,False,PPP1CA directly inhibits BRCA1,REFUTE,WRONG,"Protein kinases involved in the DNA damage checkpoint control, such as ATM, ATR, and hCds1/Chk2, have been shown to phosphorylate and activate BRCA1 upon DNA damage. |Altogether, these results indicate that PP1α specifically dephosphorylates BRCA1 at multiple serine sites, including S988 [12], S1423, and S1524.",17603999,PPP1CA,BRCA1,down-regulates activity
signor,SIGNOR-256528,False,GNAI1 directly activates HCK,UNCERTAIN,UNCERTAIN,"Galphas and Galphai similarly modulate Hck, another member of Src-family tyrosine kinases.",11007482,GNAI1,HCK,up-regulates activity
signor,SIGNOR-81125,False,BCL2L1 directly activates BAD,REFUTE,WRONG,"Bad dimerizes with bcl-xl at the mitochondrial membrane where it exert its killing effects. Phosphorylation of bad promotes its binding to 14-3-3 protein, which may sequester bad from bcl-xl, thus promoting cell cells survival.",10949026,BCL2L1,BAD,up-regulates activity
signor,SIGNOR-278744,False,BMI1 directly activates H2AX,SUPPORT,SUPPORTED,"In this process, BMI1 ubiquitinates histone H2A and \u03b3H2AX, thereby facilitating the repair of double-stranded DNA breaks through stimulating homologous recombination and non-homologous end joining.",26633535,BMI1,H2AX,up-regulates activity
signor,SIGNOR-278744,True,BMI1 directly inhibits H2AX,REFUTE,WRONG,"In this process, BMI1 ubiquitinates histone H2A and \u03b3H2AX, thereby facilitating the repair of double-stranded DNA breaks through stimulating homologous recombination and non-homologous end joining.",26633535,BMI1,H2AX,up-regulates activity
signor,SIGNOR-81674,False,MTCP1 directly activates AKT2,SUPPORT,SUPPORTED,"Full-length tcl1 and its isoforms bind to akt / in in vitro kinase assays using gsk-3_ as a substrate, we found that the presence of any of the tcl1 family proteins (tcl1, mtcp1, or tcl1b) as gst fusion proteins significantly enhanced akt-induced gsk-3_ phosphorylation",10983986,MTCP1,AKT2,up-regulates
