dataset,id,claim,label,original_label,evidence,ligand,receptor,lr_pair,species,pmid
connectomedb,CDB25:0003056,A2M as ligand directly interacts extracellularly with HSPA5 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-A2M%20HSPA5-based-on-Pubmed-ID-12194978,%2032541810",A2M,HSPA5,A2M HSPA5,human,12194978
connectomedb,CDB25:0003065,ADAM23 as ligand directly interacts extracellularly with ITGAV as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ADAM23%20ITGAV-based-on-Pubmed-ID-10749942,%2019549921",ADAM23,ITGAV,ADAM23 ITGAV,human,10749942
connectomedb,CDB25:0003092,ALCAM as ligand directly interacts extracellularly with ALCAM as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ALCAM%20ALCAM-based-on-Pubmed-ID-15048703,%2023052204",ALCAM,ALCAM,ALCAM ALCAM,human,15048703
connectomedb,CDB25:0003096,ANGPT2 as ligand directly interacts extracellularly with ITGB1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ANGPT2%20ITGB1-based-on-Pubmed-ID-16424009,%2025635707",ANGPT2,ITGB1,ANGPT2 ITGB1,human,16424009
connectomedb,CDB25:0003127,APOA1 as ligand directly interacts extracellularly with ABCA1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-APOA1%20ABCA1-based-on-Pubmed-ID-12084722,%2012511593,%2022271762,%2030458687",APOA1,ABCA1,APOA1 ABCA1,human,12084722
connectomedb,CDB25:0003138,APOE as ligand directly interacts extracellularly with ABCA1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-APOE%20ABCA1-based-on-Pubmed-ID-14754908,%2024814386",APOE,ABCA1,APOE ABCA1,human,14754908
connectomedb,CDB25:0003142,APOE as ligand directly interacts extracellularly with LSR as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-APOE%20LSR-based-on-Pubmed-ID-29178324,%207509190",APOE,LSR,APOE LSR,human,29178324
connectomedb,CDB25:0003143,APOE as ligand directly interacts extracellularly with TREM2 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-APOE%20TREM2-based-on-Pubmed-ID-26374899,%2027477018",APOE,TREM2,APOE TREM2,human,26374899
connectomedb,CDB25:0003226,CADM3 as ligand directly interacts extracellularly with CADM4 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-CADM3%20CADM4-based-on-Pubmed-ID-30131958,%2033889941",CADM3,CADM4,CADM3 CADM4,human,30131958
connectomedb,CDB25:0003232,CALCA as ligand directly interacts extracellularly with RAMP3 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-CALCA%20RAMP3-based-on-Pubmed-ID-12565884,%2014722252,%2015692146,%2018599553,%2030139742",CALCA,RAMP3,CALCA RAMP3,human,12565884
connectomedb,CDB25:0003233,CALCB as ligand directly interacts extracellularly with RAMP3 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-CALCB%20RAMP3-based-on-Pubmed-ID-15692146,%2018599553,%2026423127",CALCB,RAMP3,CALCB RAMP3,human,15692146
connectomedb,CDB25:0003255,CCL26 as ligand directly interacts extracellularly with CX3CR1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-CCL26%20CX3CR1-based-on-Pubmed-ID-20974991,%2036790376",CCL26,CX3CR1,CCL26 CX3CR1,human,20974991
connectomedb,CDB25:0003274,CD2 as ligand directly interacts extracellularly with CD58 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-CD2%20CD58-based-on-Pubmed-ID-29904386,%207520278",CD2,CD58,CD2 CD58,human,29904386
connectomedb,CDB25:0003277,CD24 as ligand directly interacts extracellularly with SIGLEC10 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-CD24%20SIGLEC10-based-on-Pubmed-ID-19264983,%2031367043",CD24,SIGLEC10,CD24 SIGLEC10,human,19264983
connectomedb,CDB25:0003280,CD40LG as ligand directly interacts extracellularly with ITGA2B as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-CD40LG%20ITGA2B-based-on-Pubmed-ID-11875495,%2022461623",CD40LG,ITGA2B,CD40LG ITGA2B,human,11875495
connectomedb,CDB25:0003282,CD40LG as ligand directly interacts extracellularly with ITGA5 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-CD40LG%20ITGA5-based-on-Pubmed-ID-22461623,%2033571526",CD40LG,ITGA5,CD40LG ITGA5,human,22461623
connectomedb,CDB25:0003283,CD40LG as ligand directly interacts extracellularly with ITGAV as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-CD40LG%20ITGAV-based-on-Pubmed-ID-31331973,%2033571526",CD40LG,ITGAV,CD40LG ITGAV,human,31331973
connectomedb,CDB25:0003284,CD40LG as ligand directly interacts extracellularly with ITGB1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-CD40LG%20ITGB1-based-on-Pubmed-ID-22461623,%2033571526",CD40LG,ITGB1,CD40LG ITGB1,human,22461623
connectomedb,CDB25:0003285,CD40LG as ligand directly interacts extracellularly with ITGB3 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-CD40LG%20ITGB3-based-on-Pubmed-ID-11875495,%2022461623,%2031331973,%2033571526",CD40LG,ITGB3,CD40LG ITGB3,human,11875495
connectomedb,CDB25:0003289,CD72 as ligand directly interacts extracellularly with CD5 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-CD72%20CD5-based-on-Pubmed-ID-1711157,%208757302,%208806810",CD72,CD5,CD72 CD5,human,1711157
connectomedb,CDB25:0003292,CDCP1 as ligand directly interacts extracellularly with CD6 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-CDCP1%20CD6-based-on-Pubmed-ID-28760953,%2039455095",CDCP1,CD6,CDCP1 CD6,human,28760953
connectomedb,CDB25:0003334,CGB5 as ligand directly interacts extracellularly with LHCGR as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-CGB5%20LHCGR-based-on-Pubmed-ID-12727981,%2026441830",CGB5,LHCGR,CGB5 LHCGR,human,12727981
connectomedb,CDB25:0003336,CGB8 as ligand directly interacts extracellularly with LHCGR as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-CGB8%20LHCGR-based-on-Pubmed-ID-12727981,%201922095",CGB8,LHCGR,CGB8 LHCGR,human,12727981
connectomedb,CDB25:0003342,CLEC1B as ligand directly interacts extracellularly with PDPN as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-CLEC1B%20PDPN-based-on-Pubmed-ID-17616532,%2025458834",CLEC1B,PDPN,CLEC1B PDPN,human,17616532
connectomedb,CDB25:0003350,CLU as ligand directly interacts extracellularly with LRP2 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-CLU%20LRP2-based-on-Pubmed-ID-11772027,%207768901",CLU,LRP2,CLU LRP2,human,11772027
connectomedb,CDB25:0003357,CNTN1 as ligand directly interacts extracellularly with NFASC as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-CNTN1%20NFASC-based-on-Pubmed-ID-27017186,%2031501903",CNTN1,NFASC,CNTN1 NFASC,human,27017186
connectomedb,CDB25:0003375,COL18A1 as ligand directly interacts extracellularly with ITGAV as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-COL18A1%20ITGAV-based-on-Pubmed-ID-11158588,%2012682293",COL18A1,ITGAV,COL18A1 ITGAV,human,11158588
connectomedb,CDB25:0003379,COL1A2 as ligand directly interacts extracellularly with DDR1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-COL1A2%20DDR1-based-on-Pubmed-ID-16440311,%209659899,%209659900",COL1A2,DDR1,COL1A2 DDR1,human,16440311
connectomedb,CDB25:0003380,COL1A2 as ligand directly interacts extracellularly with DDR2 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-COL1A2%20DDR2-based-on-Pubmed-ID-9659899,%209659900",COL1A2,DDR2,COL1A2 DDR2,human,9659899
